days,date,streamflow,precip,temp_min,temp_max,humidity_spec,radiation_sw
69,2017-03-10,0.1185562,0,-4.93,2.545,0.00308704376220703,58.875
70,2017-03-11,0.1184963,0,-13.573,1.602,0.00255393981933594,102.0625
71,2017-03-12,0.1152196,0.82,-2.835,2.648,0.00289726257324219,93.5625
72,2017-03-13,0.1115033,0.06,-2.781,3.314,0.00376415252685547,52.8125
73,2017-03-14,0.1102646,0.08,-1.504,5.178,0.00367069244384766,48.6875
74,2017-03-15,0.121893,14.87,-2.104,1.361,0.00345325469970703,65.0625
75,2017-03-16,0.1191756,0.07,-3.76,5.922,0.00291824340820312,104.5
76,2017-03-17,0.1188361,0.1,-3.689,3.227,0.00349807739257812,52.1875
77,2017-03-18,0.1167981,0,-9.323,-0.89,0.00247383117675781,105.1875
78,2017-03-19,0.115839,0,-16.557,-1.974,0.00159740447998047,129.8125
79,2017-03-20,0.1222326,5.86,-9.966,2.65,0.00219917297363281,77.25
80,2017-03-21,0.1215533,1.11,-6.817,1.235,0.00311088562011719,82
81,2017-03-22,0.1201947,0,-9.118,-0.194,0.00279712677001953,98.125
82,2017-03-23,0.1269878,0,-10.135,-0.323,0.00210094451904297,137.625
83,2017-03-24,0.1225723,0,-6.547,1.299,0.00249290466308594,134.125
84,2017-03-25,0.1191756,0,-0.809,4.193,0.00313186645507812,84.5625
85,2017-03-26,0.1169083,0,1.627,9.301,0.00385761260986328,119.1875
86,2017-03-27,0.1146004,0,2.105,8.611,0.00514316558837891,138.5
87,2017-03-28,0.1182166,0,-1.744,8.786,0.00418472290039063,142.5625
88,2017-03-29,0.1273274,0,-2.2,3.315,0.00381565093994141,129.25
89,2017-03-30,0.1391347,0,-2.473,2.473,0.00317764282226562,92.6875
90,2017-03-31,0.15509,8.65,-1.158,4.341,0.00383186340332031,29.125
91,2017-04-01,0.1845337,7.7,-1.597,7.222,0.00412940979003906,49
92,2017-04-02,0.218919,0,0,7.88,0.00453281402587891,125.625
93,2017-04-03,0.2716565,0,-4.126,9.553,0.00397968292236328,135.1875
94,2017-04-04,0.3127356,0,-3.783,6.343,0.00367355346679687,169.1875
95,2017-04-05,0.3612414,0.07,-2.198,2.773,0.00352954864501953,92
96,2017-04-06,0.3961508,0.47,-2.536,6.576,0.00295066833496094,146.3125
97,2017-04-07,0.4362004,0,2.575,7.639,0.00435161590576172,88.625
98,2017-04-08,0.5059916,0,1.232,5.513,0.00394725799560547,173.5625
99,2017-04-09,0.5606769,0,0.832,8.999,0.00394821166992187,146.5625
100,2017-04-10,0.6782997,0,-0.695,5.596,0.00430107116699219,160.3125
101,2017-04-11,0.7752003,0,-3.926,1.464,0.00278282165527344,173.5625
102,2017-04-12,0.7860794,0.74,-5.564,5.198,0.00244140625,198.1875
103,2017-04-13,0.787295,0.01,-4.424,2.774,0.00364780426025391,145.625
104,2017-04-14,0.7525942,0.01,-5.503,1.713,0.00329017639160156,55.1875
105,2017-04-15,0.689815,0.05,-5.996,0.045,0.00240707397460937,169.4375
106,2017-04-16,0.6358241,1.14,-6.511,0.331,0.00274753570556641,109.125
107,2017-04-17,0.611973,5.53,-4.759,0.194,0.00302505493164062,118.8125
108,2017-04-18,0.5751189,2.47,-11.73,2.3,0.00237846374511719,121.1875
109,2017-04-19,0.5257965,0,-10.113,2.34,0.00209999084472656,215.0625
110,2017-04-20,0.475963,0,-1.47,7.365,0.00302219390869141,175.0625
111,2017-04-21,0.4648065,0,-2.554,2.876,0.00375270843505859,142.8125
112,2017-04-22,0.458223,0,-2.766,3.21,0.00263023376464844,202.4375
113,2017-04-23,0.4475244,0,-5.015,1.271,0.00223922729492187,232.3125
114,2017-04-24,0.465833,7.8,-4.194,-1.288,0.00223922729492187,234.1875
115,2017-04-25,0.4692268,9.56,-4.447,1.515,0.00265979766845703,90.625
116,2017-04-26,0.4401182,0,-10.569,2.846,0.00204753875732422,168.125
117,2017-04-27,0.421634,0,-6.93,2.926,0.00226402282714844,243.875
118,2017-04-28,0.4092552,0,-8.552,-0.01,0.00264167785644531,215.125
119,2017-04-29,0.423955,7.49,-3.23,3.879,0.00271224975585937,197.375
120,2017-04-30,0.398424,0,-9.758,4.728,0.00213527679443359,231.4375
121,2017-05-01,0.3991978,0,-7.231,8.442,0.00230312347412109,269.5
122,2017-05-02,0.4061607,0,-5.243,11.847,0.00262165069580078,278.5
123,2017-05-03,0.440941,0,-4.421,11.577,0.00248336791992187,273.125
124,2017-05-04,0.5169536,0,-4.86,11.789,0.00283527374267578,276.5625
125,2017-05-05,0.6288522,0,-2.128,15.988,0.00297164916992187,289.1875
126,2017-05-06,0.9181612,0,-0.059,16.453,0.00455093383789063,282.375
127,2017-05-07,1.336369,0,0.426,12.454,0.0045928955078125,282
128,2017-05-08,1.578213,0,-5.373,6.519,0.00362110137939453,200.4375
129,2017-05-09,1.503307,0,-5.469,4.364,0.00239467620849609,291.0625
130,2017-05-10,1.34095,0.96,-2.593,1.363,0.00298023223876953,213.8125
131,2017-05-11,1.189301,3.69,-3.097,2.574,0.00309085845947266,118
132,2017-05-12,1.057201,0.1,-1.23,6.835,0.00319194793701172,159.6875
133,2017-05-13,0.984439,0,-0.554,6.417,0.00393390655517578,215.4375
